aX,aY,aZ,gX,gY,gZ
0.775,0.001,-1.114,-171.631,-316.650,-52.368
0.450,-0.212,-0.823,-158.386,-324.463,-35.889
0.131,-0.224,-0.499,-102.112,-325.806,-26.367
-0.302,-0.270,0.064,-15.686,-312.805,-24.536
-0.863,0.085,0.827,65.125,-264.709,-10.559
-2.089,0.998,0.738,74.707,-192.322,11.658
-3.744,1.594,1.083,-5.310,-156.555,16.357
-4.000,1.306,1.701,-183.960,-191.223,3.601
-4.000,0.607,3.217,-408.386,-265.442,8.545
-3.061,-0.119,4.000,-571.716,-336.548,23.010
-1.575,-0.338,4.000,-612.366,-356.262,24.292
-0.325,-0.355,4.000,-513.428,-284.546,-5.676
-0.038,-0.750,4.000,-356.323,-145.630,-32.288
-0.145,-1.050,3.727,-191.284,-14.648,-39.368
-0.383,-0.775,1.795,18.372,50.354,-45.776
-0.491,0.066,0.533,256.104,63.293,-56.641
-0.253,1.177,0.010,417.603,27.344,-67.566
0.185,1.670,0.041,438.721,-25.696,-85.510
0.496,1.401,-0.027,366.333,-47.607,-107.727
0.381,0.725,-0.005,246.765,-38.940,-112.000
0.094,0.224,-0.006,79.285,-20.325,-77.148
0.154,-0.019,0.495,-103.638,3.845,-15.747
0.061,0.015,0.761,-200.684,19.409,30.945
0.115,0.022,0.969,-219.727,15.442,45.471
0.193,0.070,0.973,-166.687,10.132,40.649
0.196,0.198,0.889,-79.651,-0.916,20.935
0.250,0.318,0.854,-0.793,-15.564,-2.014
0.385,0.461,0.914,51.575,-25.696,-16.541
0.401,0.578,0.815,68.787,-23.804,-22.766
0.303,0.564,0.734,50.598,-10.315,-21.118
0.196,0.480,0.693,7.263,0.977,-12.024
0.139,0.379,0.717,-33.875,2.747,-3.601
0.175,0.260,0.886,-50.598,-1.343,-1.831
0.214,0.213,1.017,-49.133,-6.653,-2.380
0.210,0.202,1.100,-35.278,-8.728,-4.517
0.210,0.233,1.053,-13.550,-9.644,-8.850
0.231,0.213,0.999,3.357,-9.705,-14.465
0.297,0.132,0.974,9.338,-10.986,-16.907
0.359,0.043,0.978,2.075,-8.301,-15.137
0.376,-0.023,1.036,-6.897,-1.953,-10.620
0.436,-0.059,1.120,-13.062,-1.038,-6.042
0.498,-0.084,1.165,-16.174,-1.343,-3.845
0.516,-0.082,1.150,-11.169,6.531,-2.808
0.493,-0.096,1.099,-3.784,8.362,-1.099
0.447,-0.081,0.990,0.122,12.756,1.343
0.384,-0.060,0.910,8.911,18.738,3.418
0.347,-0.036,0.861,12.756,13.916,4.700
0.353,-0.013,0.891,10.681,4.395,4.761
0.388,-0.000,0.972,7.629,-0.427,5.066
0.425,0.016,1.013,4.456,0.183,7.507
0.398,0.052,0.986,2.808,-0.793,9.399
0.355,0.091,0.945,7.080,-0.244,7.507
0.320,0.126,0.901,11.658,1.038,5.249
0.305,0.130,0.885,11.353,1.282,4.028
0.280,0.120,0.871,8.240,4.761,4.761
0.265,0.116,0.853,4.395,6.958,6.531
0.267,0.172,0.826,2.747,6.348,8.423
0.250,0.236,0.818,4.028,4.578,8.423
0.238,0.247,0.800,1.343,1.587,7.324
0.252,0.214,0.795,-4.944,-0.610,7.263
0.243,0.181,0.806,-8.118,2.625,7.385
0.260,0.151,0.829,-3.723,3.723,6.287
0.289,0.140,0.863,3.601,0.183,4.883
0.293,0.161,0.866,7.568,2.014,4.395
0.270,0.183,0.864,7.385,1.892,5.310
0.292,0.194,0.865,4.456,-0.427,5.432
0.303,0.193,0.872,4.272,2.136,4.211
0.309,0.186,0.868,5.005,1.587,3.906
0.320,0.170,0.873,4.700,-0.488,2.625
0.320,0.149,0.863,6.104,0.488,1.160
0.327,0.143,0.875,8.423,0.854,0.061
0.342,0.147,0.905,7.629,-2.319,-1.526
0.341,0.143,0.937,4.578,-0.183,-1.831
0.354,0.094,0.970,-1.770,-1.587,-0.793
0.370,0.040,0.996,-4.822,1.099,0.122
0.371,0.016,1.007,-4.456,0.000,1.770
0.386,0.007,1.016,0.854,2.869,0.793
0.388,0.031,1.013,8.179,6.531,0.122
0.387,0.046,1.014,10.437,6.714,0.610
0.383,0.049,1.006,7.080,5.249,1.343
0.369,0.029,0.999,3.601,9.949,1.770
0.357,0.027,0.973,2.380,14.038,3.357
0.339,0.037,0.953,1.831,12.939,4.944
0.326,0.036,0.937,1.404,10.742,5.127
0.318,0.039,0.923,0.610,8.301,5.432
0.322,0.046,0.928,1.282,7.996,4.700
0.340,0.066,0.936,4.150,3.601,4.944
0.343,0.084,0.930,6.958,-0.610,4.150
0.348,0.103,0.920,10.193,1.770,3.113
0.339,0.121,0.906,9.827,3.540,3.662
0.331,0.138,0.884,6.348,5.859,4.761
0.300,0.129,0.856,0.549,9.827,5.554
0.297,0.120,0.841,-4.211,7.874,7.385
0.304,0.125,0.840,-6.165,4.639,7.202
0.312,0.144,0.849,-1.892,5.310,5.432
0.323,0.172,0.843,2.014,0.793,4.150
0.329,0.196,0.846,5.798,1.160,2.319
0.327,0.205,0.832,6.653,-1.587,1.160
0.319,0.181,0.818,6.226,2.014,-0.854
0.313,0.151,0.811,4.883,2.991,-0.854
0.321,0.129,0.817,0.732,-0.244,0.122
0.318,0.119,0.818,0.671,2.136,0.427
0.329,0.119,0.836,0.916,-2.625,1.465
0.351,0.129,0.856,2.808,-2.441,0.549
0.351,0.144,0.877,5.676,-2.441,0.549
0.353,0.136,0.882,4.883,-3.235,-0.427
0.360,0.132,0.885,4.944,-2.258,-0.366

2.232,-0.187,-1.094,-53.833,-125.122,-24.963
2.428,-0.131,-1.634,-22.034,-135.132,-31.006
2.491,-0.098,-2.153,1.343,-157.959,-39.917
2.441,-0.081,-2.449,4.395,-188.477,-42.053
2.235,0.105,-2.654,-22.644,-214.661,-37.415
1.828,0.328,-2.760,-63.477,-246.582,-35.706
1.407,0.255,-2.521,-102.417,-282.593,-38.391
0.950,0.286,-2.150,-135.681,-307.922,-27.405
0.330,0.344,-1.336,-128.296,-325.012,-8.972
-0.280,0.417,-0.306,-88.562,-313.965,4.333
-1.090,0.388,0.706,-51.147,-264.343,21.484
-2.560,0.637,1.666,-30.457,-201.111,60.303
-3.784,1.056,2.052,-70.740,-176.208,92.896
-4.000,1.127,2.741,-147.278,-198.242,81.665
-4.000,0.645,3.547,-262.329,-238.586,54.321
-3.625,0.060,4.000,-400.085,-270.691,55.664
-2.243,-0.079,4.000,-473.206,-282.288,71.289
-0.283,0.101,4.000,-408.020,-226.074,46.692
0.706,0.042,4.000,-225.952,-122.925,-13.489
0.175,0.272,3.425,-36.438,-41.565,-47.241
-0.044,0.505,1.931,117.920,30.273,-71.350
-0.097,0.707,0.696,235.107,40.833,-102.173
-0.069,0.895,0.073,294.006,14.404,-125.549
