aX,aY,aZ,gX,gY,gZ
0.512,0.251,-0.754,-6.348,-5.493,3.784
0.506,0.264,-0.746,-6.226,-4.883,4.333
0.507,0.270,-0.757,-3.906,-2.563,4.456
0.513,0.272,-0.774,-0.488,0.366,4.211
0.535,0.269,-0.801,2.197,1.221,3.601
0.563,0.270,-0.829,5.066,0.488,2.991
0.592,0.267,-0.846,6.226,0.305,1.404
0.617,0.259,-0.848,5.493,-4.822,0.671
0.619,0.253,-0.832,4.028,-7.019,-0.244
0.617,0.250,-0.803,0.183,-13.550,0.000
0.593,0.257,-0.761,-2.441,-13.611,-0.305
0.572,0.269,-0.729,-5.432,-16.785,0.488
0.551,0.271,-0.710,-6.958,-13.550,0.183
0.535,0.276,-0.700,-4.333,-7.141,0.671
0.540,0.269,-0.706,-2.441,-4.272,1.404
0.552,0.253,-0.728,-0.366,-1.953,1.770
0.579,0.239,-0.755,1.404,0.366,2.075
0.604,0.236,-0.779,1.404,2.014,2.136
0.612,0.241,-0.805,1.404,5.127,1.404
0.620,0.253,-0.821,2.075,2.686,1.709
0.623,0.264,-0.816,1.099,-3.662,0.854
0.609,0.262,-0.802,1.099,-4.150,-1.404
0.589,0.255,-0.789,1.892,-4.822,-1.770
0.577,0.249,-0.779,-0.244,-9.766,-1.770
0.556,0.234,-0.766,-0.549,-7.690,-1.831
0.546,0.243,-0.750,-0.549,-7.996,0.244
0.541,0.251,-0.738,-1.343,-4.822,1.038
0.541,0.264,-0.745,-0.549,-0.488,2.319
0.554,0.282,-0.760,-1.221,-0.305,3.113
0.571,0.283,-0.782,-2.075,-1.953,2.380
0.586,0.273,-0.795,0.854,1.526,0.977
0.591,0.263,-0.793,2.625,0.610,0.183
0.591,0.258,-0.794,0.793,-5.127,-0.122
0.589,0.262,-0.787,-0.122,-4.272,-1.709
0.592,0.269,-0.781,0.854,-5.737,-2.014
0.587,0.265,-0.769,1.526,-6.714,-3.174
0.582,0.252,-0.749,4.822,-5.371,-3.479
0.589,0.239,-0.731,4.395,-7.568,-3.479
0.591,0.225,-0.724,4.639,-3.052,-3.723
0.596,0.219,-0.725,3.845,-3.113,-2.075
0.604,0.212,-0.729,1.831,-2.014,-0.671
0.602,0.222,-0.732,1.221,-1.099,1.831
0.599,0.233,-0.739,-1.526,-0.977,2.930

-0.519,0.383,1.905,53.650,25.879,-18.677
-0.640,0.424,2.080,53.833,50.232,-26.550
-0.682,0.370,2.175,55.725,77.942,-27.527
-0.679,0.324,2.211,60.364,109.497,-28.320
-0.676,0.272,2.193,68.298,136.292,-26.733
-0.636,0.193,2.193,75.378,160.889,-22.705
-0.625,0.125,2.201,78.674,184.570,-21.667
-0.683,0.102,2.228,77.026,209.900,-20.874
-0.634,0.012,2.238,74.158,239.136,-19.653
-0.624,-0.063,2.231,70.190,263.000,-19.165
-0.600,-0.167,2.153,62.439,290.405,-15.686
-0.579,-0.235,2.038,50.964,319.275,-8.911
-0.500,-0.278,1.808,41.809,352.783,0.671
-0.407,-0.287,1.548,34.058,377.625,9.766
-0.309,-0.324,1.292,28.198,396.667,18.921
-0.215,-0.404,1.045,22.400,404.236,31.921
-0.194,-0.395,0.875,15.076,411.987,45.166
-0.227,-0.354,0.790,6.409,415.955,58.533
-0.241,-0.318,0.759,-7.690,417.297,67.261
-0.217,-0.223,0.604,-25.879,421.875,70.923
-0.183,-0.141,0.442,-42.297,421.753,73.242
-0.151,-0.085,0.314,-54.688,419.128,73.181
-0.136,0.019,0.200,-61.951,414.551,74.402
-0.172,0.090,0.087,-61.890,409.119,77.881
-0.199,0.132,-0.003,-57.251,404.663,81.055
-0.206,0.138,-0.092,-54.749,403.381,80.872
-0.188,0.162,-0.210,-55.969,402.954,78.125
-0.139,0.170,-0.323,-54.932,400.513,74.524
-0.098,0.194,-0.409,-49.927,394.836,69.763
-0.070,0.201,-0.490,-40.955,384.888,65.308
-0.028,0.187,-0.533,-28.442,369.385,62.439
-0.021,0.155,-0.577,-17.151,359.924,61.768
-0.028,0.135,-0.657,-13.062,351.562,64.514
-0.011,0.138,-0.753,-19.409,341.064,68.420
0.056,0.179,-0.898,-33.508,329.651,70.374
0.121,0.206,-1.036,-46.265,312.134,70.496
